"curr.pct","prev.pct","fema.dis","ppinc.adj","pinc.chg","cong.pres","pres.party","comp","ev","incumb","state"
61.2633953513183,50.6763383070395,0,18755.5612505348,1.589388697,0.388888888888889,0,39.5746591595826,9,1,"Alabama"
69.0559126477164,67.2991856448411,0,33859.8376259048,1.373270972,1,0.5,36.0458141621097,3,1,"Alaska"
67.116727570006,68.2120868323351,0,22372.264348049,2.045820433,0.535714285714286,0,35.3967383292897,6,1,"Arizona"
61.2275881019441,50.3197059429235,0,18352.9417441972,1.577185269,0.333333333333333,0.5,38.5037521834842,6,1,"Arkansas"
58.2245348221977,59.4709430310945,0,27767.3566360115,2.074339642,0.435933806146572,0.5,44.2133641105684,45,1,"California"
64.3658481569433,63.932596053662,1,25656.0133463232,1.811944947,0.428571428571429,0,38.5740630187207,7,1,"Colorado"
60.999168763018,55.5571963227126,1,30507.4483468382,1.650715603,0.375,0,44.1636835518949,8,1,"Connecticut"
59.9536726991956,51.2667852501774,0,25680.4321245039,2.167755991,0.5,1,45.2183060757636,3,1,"Delaware"
65.3324132135455,59.0507629471969,1,23927.7870056484,2.067013533,0.313725490196078,0,38.7158632979204,17,1,"Florida"
60.1978201481398,42.3436841584024,0,21195.7482084896,2.481663266,0.166666666666667,0,33.3765991343655,12,1,"Georgia"
55.7037242176494,48.9159407649131,0,25929.010177815,1.418394198,0,0,45.051373913135,4,1,"Hawaii"
73.275571197415,72.5132267873312,1,19226.2109213845,1.602160216,1,0,31.532859187307,4,1,"Idaho"
56.4732533072208,54.339662382111,0,25821.7065030875,1.490827688,0.517628205128205,1,45.1184592921274,26,1,"Illinois"
62.0734291216837,59.7973286701498,0,21637.0054854872,1.292489314,0.560897435897436,1,39.958727546864,13,1,"Indiana"
53.7238253300201,57.0631502712084,1,22371.4725779209,0.987010193,0.625,1,44.5627470912809,8,1,"Iowa"
67.0294771115697,63.4754894385203,1,23830.6096113947,1.49510531,0.785714285714286,0,37.6716392854683,7,1,"Kansas"
60.3933877042303,50.7532609885347,1,19326.8123684591,1.537428345,0.333333333333333,0,43.6739996919129,9,1,"Kentucky"
61.4191611625422,52.8108859885993,1,20258.1336976426,0.908567038,0.2,0.5,41.4993155299538,10,1,"Louisiana"
61.0691179006016,51.9094834340234,0,20290.3503617927,1.821373711,0.75,0,45.3882706458866,4,1,"Maine"
52.7575271921446,48.3808619337815,0,27435.5815227825,1.750540817,0.2,0,44.4097395952579,10,1,"Maryland"
51.3983302372594,50.0906730168563,0,27297.1717637271,2.253096,0.10989010989011,0,45.7618583200857,14,1,"Massachusetts"
59.5463249981686,53.5464108967984,0,23699.0892166901,1.743006406,0.316666666666667,0.5,45.4563112613198,21,1,"Michigan"
49.909109231805,47.7855878385588,0,24913.6807404867,2.227546889,0.6,0.5,46.1077871418687,10,1,"Minnesota"
62.2787090499952,50.6783322035456,1,16349.2902611217,1.4410516,0.428571428571429,0,39.4728284732719,7,1,"Mississippi"
60.024750667877,53.5654143414434,1,22738.0018856129,1.579848226,0.390151515151515,1,44.0994478052782,12,1,"Missouri"
61.301398763687,63.6652444542953,0,20322.0977354775,1.162192739,0.25,0,40.688802839547,4,1,"Montana"
71.004753673293,71.5653694349578,2,22759.0690106871,1.19766126,0.6,0.5,32.4380744287029,5,1,"Nebraska"
67.3156815547829,69.9273286630008,1,25379.1870392775,1.830246463,0.541666666666667,0.5,38.0408330084537,3,1,"Nevada"
68.9259922673095,67.067692372848,0,25255.5992157208,2.931142519,0.75,0.5,37.4859083506693,4,1,"New Hampshire"
60.5213910814963,57.4091445146313,1,28816.4119510848,2.141682999,0.362132352941176,0.75,42.9607533734331,17,1,"New Jersey"
60.3495981291882,59.908266743111,1,19643.7326707382,1.16271954,0.8,0,42.100191602935,4,1,"New Mexico"
54.0177189576279,51.4714783511019,2,27514.2456612467,2.126606799,0.427845528455285,0,45.8710995442868,41,1,"New York"
62.0278629498869,51.0996826297446,2,20559.7267372348,2.282054387,0.384615384615385,0,40.9064882572634,13,1,"North Carolina"
65.7345823831477,70.9807097521291,0,21454.5890425833,0.814447592,0.333333333333333,1,37.5288947806434,3,1,"North Dakota"
59.4706927175844,55.7354850100746,0,23417.0845229455,1.429077434,0.499130434782609,0.5,44.363745054657,25,1,"Ohio"
69.109825847699,63.3721332803691,2,22104.95314225,1.534242689,0.25,0,36.8585809236625,8,1,"Oklahoma"
56.1047113393374,55.5525938435736,0,22363.7952257443,1.373997528,0.535714285714286,1,46.3400555398492,6,1,"Oregon"
53.7007314771217,53.8616358671166,1,23534.3264711601,1.232186005,0.499259259259259,1,44.8706425823516,27,1,"Pennsylvania"
51.8297302449253,43.8339445254648,0,23794.1211676488,2.138637553,0.5,0,45.0202708529265,4,1,"Rhode Island"
64.118044726664,50.785423479483,1,19001.3463825378,1.68443614,0.5625,0,40.3311792965375,8,1,"South Carolina"
63.2995132435679,65.6334588580997,1,20314.7135572288,1.538461538,0.708333333333333,1,43.0981107360261,4,1,"South Dakota"
58.181848094453,50.1499224604854,1,19990.7528177528,1.703829507,0.381818181818182,1,41.2678387331579,10,1,"Tennessee"
63.7863051730134,57.1673407938155,3,23387.3205151021,1.937321937,0.218832891246684,0.5,41.5536624938583,26,1,"Texas"
75.1200210096818,77.9651850420159,1,19846.0624790854,1.536342445,1,0,28.3741402951259,4,1,"Utah"
58.6649107277791,53.5999410728147,1,20901.9427165679,2.321957301,0.666666666666667,1,42.480594967196,3,1,"Vermont"
